created_at,entry_id,Water flow,Amount of water,latitude,longitude,elevation,status
2024-11-17T07:49:07+00:00,1,0,0,,,,
2024-11-17T07:49:23+00:00,2,0,0,,,,
2024-11-17T07:49:39+00:00,3,0,0,,,,
2024-11-17T07:49:55+00:00,4,0,1544,,,,
2024-11-17T07:50:11+00:00,5,0,1544,,,,
2024-11-17T07:50:27+00:00,6,0,1544,,,,
2024-11-17T07:50:43+00:00,7,0,1544,,,,
2024-11-17T07:50:59+00:00,8,0,1544,,,,
2024-11-17T07:51:15+00:00,9,0,1544,,,,
2024-11-17T07:51:31+00:00,10,0,1544,,,,
2024-11-17T07:51:47+00:00,11,0,1544,,,,
2024-11-17T07:52:03+00:00,12,0,1544,,,,
2024-11-17T07:52:19+00:00,13,0,1544,,,,
2024-11-17T07:52:35+00:00,14,0,1544,,,,
2024-11-17T07:52:51+00:00,15,0,1544,,,,
2024-11-17T07:53:06+00:00,16,0,1544,,,,
2024-11-17T07:53:22+00:00,17,0,1544,,,,
2024-11-17T07:53:38+00:00,18,2,2713,,,,
2024-11-17T07:53:54+00:00,19,0,3820,,,,
2024-11-17T07:54:10+00:00,20,0,3820,,,,
2024-11-17T07:54:26+00:00,21,0,3820,,,,
2024-11-17T07:54:42+00:00,22,0,3820,,,,
2024-11-17T07:54:58+00:00,23,0,3820,,,,
2024-11-17T07:55:14+00:00,24,0,3820,,,,
2024-11-17T07:55:30+00:00,25,0,3820,,,,
2024-11-17T07:55:46+00:00,26,0,6245,,,,
2024-11-17T07:56:02+00:00,27,0,6245,,,,
2024-11-17T07:56:18+00:00,28,0,6245,,,,
2024-11-17T07:56:34+00:00,29,0,6245,,,,
2024-11-17T07:56:50+00:00,30,0,6245,,,,
2024-11-17T07:57:06+00:00,31,0,6245,,,,
2024-11-17T07:57:22+00:00,32,0,6245,,,,
2024-11-17T07:57:38+00:00,33,0,6245,,,,
2024-11-17T07:57:54+00:00,34,0,6245,,,,
2024-11-17T07:58:10+00:00,35,0,6245,,,,
2024-11-17T07:58:26+00:00,36,0,6245,,,,
2024-11-17T07:58:42+00:00,37,0,6245,,,,
2024-11-17T07:58:58+00:00,38,0,6245,,,,
2024-11-17T07:59:14+00:00,39,0,6245,,,,
2024-11-17T07:59:30+00:00,40,0,6245,,,,
2024-11-17T07:59:46+00:00,41,0,6245,,,,
2024-11-17T08:00:02+00:00,42,0,6245,,,,
2024-11-17T08:00:18+00:00,43,0,6245,,,,
2024-11-17T08:00:34+00:00,44,0,6245,,,,
2024-11-17T08:00:50+00:00,45,0,6245,,,,
2024-11-17T08:01:06+00:00,46,0,6245,,,,
2024-11-17T08:01:22+00:00,47,0,6245,,,,
2024-11-17T08:01:38+00:00,48,0,6245,,,,
2024-11-17T08:01:54+00:00,49,0,6245,,,,
2024-11-17T08:02:09+00:00,50,0,6245,,,,
2024-11-17T08:02:25+00:00,51,0,6245,,,,
2024-11-17T08:02:41+00:00,52,0,6245,,,,
